cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-21T02:33:47.394646,0.4,72.6,0.00,False,NONE,2,2
2,2026-07-21T02:33:52.721425,5.7,64.9,0.00,False,NONE,2,2
3,2026-07-21T02:33:58.117273,11.1,73.9,0.00,False,NONE,2,2
4,2026-07-21T02:34:03.477964,16.5,70.9,0.00,False,NONE,3,3
5,2026-07-21T02:34:08.841122,21.8,66.9,0.00,False,NONE,2,2
6,2026-07-21T02:34:14.188817,27.2,64.6,0.00,False,NONE,2,2
7,2026-07-21T02:34:19.545075,32.5,70.1,0.00,False,NONE,2,2
8,2026-07-21T02:34:24.904618,37.9,66.8,0.00,False,NONE,2,2
9,2026-07-21T02:34:30.257112,43.2,64.7,0.00,False,NONE,2,2
10,2026-07-21T02:34:35.616084,48.6,66.1,0.00,False,NONE,2,2
11,2026-07-21T02:34:40.912869,53.9,58.3,0.00,False,NONE,2,2
12,2026-07-21T02:34:46.218770,59.2,58.1,0.00,False,NONE,2,2
13,2026-07-21T02:34:51.553391,64.5,65.8,0.00,False,NONE,2,2
14,2026-07-21T02:34:56.874998,69.9,63.2,0.00,False,NONE,2,2
15,2026-07-21T02:35:02.229411,75.2,65.9,0.00,False,NONE,2,2
16,2026-07-21T02:35:07.621560,80.6,73.1,0.00,False,NONE,2,2
17,2026-07-21T02:35:13.872579,86.8,240.8,0.00,True,SCALE_UP,2,19
18,2026-07-21T02:35:19.214984,92.2,65.1,0.00,False,NONE,2,2
19,2026-07-21T02:35:24.595193,97.6,71.0,0.00,False,NONE,2,2
20,2026-07-21T02:35:29.940006,102.9,65.4,0.00,False,NONE,2,2
21,2026-07-21T02:35:35.292926,108.3,64.8,0.00,False,NONE,2,2
22,2026-07-21T02:35:41.085009,114.1,152.9,0.00,True,NONE,2,2
23,2026-07-21T02:35:47.328857,120.3,241.8,0.00,True,SCALE_UP,2,14
24,2026-07-21T02:35:52.666935,125.6,66.4,0.00,False,NONE,2,2
25,2026-07-21T02:35:58.016991,131.0,68.9,0.00,False,NONE,2,2
26,2026-07-21T02:36:03.350374,136.3,62.8,0.00,False,NONE,2,2
27,2026-07-21T02:36:08.696706,141.7,68.3,0.00,False,NONE,2,2
28,2026-07-21T02:36:14.024302,147.0,60.4,0.00,False,NONE,2,2
29,2026-07-21T02:36:19.359793,152.3,61.9,0.20,True,RETRY,2,2
30,2026-07-21T02:36:24.761291,157.7,75.0,0.00,False,NONE,2,2
31,2026-07-21T02:36:30.080403,163.1,62.8,0.00,False,NONE,2,2
32,2026-07-21T02:36:35.307343,168.3,39.4,0.40,True,RETRY,2,2
33,2026-07-21T02:36:40.656999,173.6,64.4,0.00,False,NONE,2,2
34,2026-07-21T02:36:45.992292,179.0,66.0,0.00,False,NONE,2,2
35,2026-07-21T02:36:51.299725,184.3,55.4,0.20,True,RETRY,2,2
36,2026-07-21T02:36:56.594557,189.6,57.9,0.20,True,RETRY,2,2
37,2026-07-21T02:37:01.819007,194.8,43.8,0.40,True,RETRY,2,2
38,2026-07-21T02:37:07.136605,200.1,62.4,0.00,False,NONE,2,2
39,2026-07-21T02:37:12.373345,205.4,42.3,0.40,True,RETRY,2,2
40,2026-07-21T02:37:17.716448,210.7,67.6,0.00,False,NONE,2,2
41,2026-07-21T02:37:23.024619,216.0,60.4,0.00,False,NONE,3,3
42,2026-07-21T02:37:28.360762,221.3,66.2,0.00,False,NONE,2,2
43,2026-07-21T02:37:33.699214,226.7,64.2,0.00,False,NONE,2,2
44,2026-07-21T02:37:39.012928,232.0,61.6,0.00,False,NONE,2,2
45,2026-07-21T02:37:44.371007,237.3,66.4,0.00,False,NONE,2,2
46,2026-07-21T02:37:49.736061,242.7,67.6,0.00,False,NONE,2,2
47,2026-07-21T02:37:56.587331,249.6,362.1,0.00,True,SCALE_UP,2,17
