ts,elapsed_s,latency_ms,ok,sla_violated
1784602224.951,0.1,94.5,True,False
1784602225.109,0.3,58.4,True,False
1784602225.289,0.4,78.9,True,False
1784602225.448,0.6,59.0,True,False
1784602225.631,0.8,82.8,True,False
1784602225.791,0.9,59.5,True,False
1784602225.970,1.1,79.0,True,False
1784602226.138,1.3,67.9,True,False
1784602226.299,1.4,60.1,True,False
1784602226.478,1.6,78.6,True,False
1784602226.646,1.8,68.0,True,False
1784602226.806,1.9,59.2,True,False
1784602226.986,2.1,79.6,True,False
1784602227.157,2.3,70.4,True,False
1784602227.327,2.5,69.4,True,False
1784602227.486,2.6,59.1,True,False
1784602227.645,2.8,58.7,True,False
1784602227.805,2.9,58.9,True,False
1784602227.964,3.1,59.1,True,False
1784602228.123,3.3,58.7,True,False
1784602228.282,3.4,59.0,True,False
1784602228.442,3.6,59.4,True,False
1784602228.601,3.7,58.8,True,False
1784602228.761,3.9,59.3,True,False
1784602228.920,4.1,58.9,True,False
1784602229.102,4.2,81.6,True,False
1784602229.261,4.4,58.5,True,False
1784602229.442,4.6,80.7,True,False
1784602229.611,4.8,69.5,True,False
1784602229.770,4.9,58.5,True,False
1784602229.928,5.1,58.2,True,False
1784602230.105,5.2,76.5,True,False
1784602230.264,5.4,58.4,True,False
1784602230.422,5.6,57.7,True,False
1784602230.595,5.7,73.6,True,False
1784602230.766,5.9,70.8,True,False
1784602230.938,6.1,70.8,True,False
1784602231.097,6.2,59.1,True,False
1784602231.257,6.4,59.2,True,False
1784602231.415,6.6,58.6,True,False
1784602231.574,6.7,58.7,True,False
1784602231.755,6.9,80.7,True,False
1784602231.915,7.1,59.4,True,False
1784602232.074,7.2,59.2,True,False
1784602232.233,7.4,58.6,True,False
1784602232.412,7.6,78.0,True,False
1784602232.571,7.7,58.6,True,False
1784602232.752,7.9,81.4,True,False
1784602232.911,8.1,58.6,True,False
1784602233.090,8.2,78.8,True,False
1784602233.249,8.4,58.4,True,False
1784602233.408,8.6,58.8,True,False
1784602233.586,8.7,77.1,True,False
1784602233.755,8.9,69.5,True,False
1784602233.915,9.1,59.1,True,False
1784602234.097,9.2,82.6,True,False
1784602234.256,9.4,58.5,True,False
1784602234.436,9.6,80.1,True,False
1784602234.607,9.8,70.1,True,False
1784602234.776,9.9,69.4,True,False
1784602234.935,10.1,58.4,True,False
1784602235.094,10.2,58.7,True,False
1784602235.271,10.4,76.7,True,False
1784602235.441,10.6,68.8,True,False
1784602235.599,10.7,58.8,True,False
1784602235.758,10.9,57.9,True,False
1784602235.933,11.1,75.6,True,False
1784602236.093,11.2,58.9,True,False
1784602236.251,11.4,58.4,True,False
1784602236.428,11.6,76.3,True,False
1784602236.599,11.7,70.6,True,False
1784602236.758,11.9,59.1,True,False
1784602236.937,12.1,77.8,True,False
1784602237.096,12.2,58.5,True,False
1784602237.254,12.4,58.5,True,False
1784602237.414,12.6,59.0,True,False
1784602237.572,12.7,58.5,True,False
1784602237.741,12.9,68.4,True,False
1784602237.899,13.0,58.3,True,False
1784602238.080,13.2,81.3,True,False
1784602238.239,13.4,58.6,True,False
1784602238.419,13.6,79.4,True,False
1784602238.589,13.7,69.8,True,False
1784602238.748,13.9,58.4,True,False
1784602238.907,14.1,58.9,True,False
1784602239.083,14.2,75.1,True,False
1784602239.253,14.4,70.1,True,False
1784602239.423,14.6,70.0,True,False
1784602239.582,14.7,58.1,True,False
1784602239.741,14.9,58.7,True,False
1784602239.900,15.0,58.5,True,False
1784602240.059,15.2,59.1,True,False
1784602240.219,15.4,59.0,True,False
1784602240.394,15.5,74.7,True,False
1784602240.562,15.7,68.5,True,False
1784602240.721,15.9,58.1,True,False
1784602240.889,16.0,68.1,True,False
1784602241.048,16.2,58.6,True,False
1784602241.227,16.4,78.8,True,False
1784602241.386,16.5,58.7,True,False
1784602241.545,16.7,58.6,True,False
1784602241.719,16.9,73.4,True,False
1784602241.878,17.0,58.5,True,False
1784602242.037,17.2,58.8,True,False
1784602242.196,17.3,58.7,True,False
1784602242.355,17.5,58.7,True,False
1784602242.514,17.7,58.6,True,False
1784602242.673,17.8,58.6,True,False
1784602242.832,18.0,59.0,True,False
1784602243.004,18.1,72.5,True,False
1784602243.163,18.3,58.8,True,False
1784602243.342,18.5,78.2,True,False
1784602243.501,18.6,59.1,True,False
1784602243.660,18.8,58.5,True,False
1784602243.835,19.0,74.4,True,False
1784602244.003,19.1,68.5,True,False
1784602244.162,19.3,58.2,True,False
1784602244.321,19.5,58.7,True,False
1784602244.498,19.6,77.2,True,False
1784602244.658,19.8,58.9,True,False
1784602244.838,20.0,80.1,True,False
1784602244.996,20.1,58.5,True,False
1784602245.155,20.3,58.7,True,False
1784602245.314,20.5,58.3,True,False
1784602245.473,20.6,59.1,True,False
1784602245.633,20.8,58.7,True,False
1784602245.800,20.9,67.3,True,False
1784602245.959,21.1,58.5,True,False
1784602246.139,21.3,80.4,True,False
1784602246.307,21.5,67.3,True,False
1784602246.476,21.6,68.3,True,False
1784602246.646,21.8,70.1,True,False
1784602246.814,22.0,67.3,True,False
1784602246.973,22.1,59.0,True,False
1784602247.132,22.3,59.0,True,False
1784602247.310,22.5,77.8,True,False
1784602247.470,22.6,59.0,True,False
1784602247.648,22.8,77.8,True,False
1784602247.807,23.0,58.6,True,False
1784602247.990,23.1,82.9,True,False
1784602248.148,23.3,58.5,True,False
1784602248.307,23.5,58.5,True,False
1784602248.466,23.6,58.0,True,False
1784602248.625,23.8,58.5,True,False
1784602248.795,23.9,69.9,True,False
1784602248.954,24.1,58.6,True,False
1784602249.113,24.3,58.7,True,False
1784602249.272,24.4,58.9,True,False
1784602249.431,24.6,59.0,True,False
1784602249.590,24.7,58.8,True,False
1784602249.758,24.9,67.6,True,False
1784602249.917,25.1,58.4,True,False
1784602250.097,25.2,79.8,True,False
1784602250.256,25.4,58.6,True,False
1784602250.415,25.6,58.5,True,False
1784602250.573,25.7,58.5,True,False
1784602250.747,25.9,73.5,True,False
1784602250.906,26.0,58.8,True,False
1784602251.088,26.2,81.3,True,False
1784602251.259,26.4,70.6,True,False
1784602251.417,26.6,58.8,True,False
1784602251.577,26.7,59.0,True,False
1784602251.754,26.9,76.1,True,False
1784602251.912,27.1,58.4,True,False
1784602252.071,27.2,58.6,True,False
1784602252.230,27.4,58.3,True,False
1784602252.389,27.5,58.6,True,False
1784602252.556,27.7,66.7,True,False
1784602252.715,27.9,58.8,True,False
1784602252.874,28.0,58.6,True,False
1784602253.049,28.2,75.2,True,False
1784602253.217,28.4,67.3,True,False
1784602253.385,28.5,68.4,True,False
1784602253.545,28.7,58.7,True,False
1784602253.704,28.8,58.9,True,False
1784602253.877,29.0,73.2,True,False
1784602254.046,29.2,69.0,True,False
1784602254.206,29.3,59.1,True,False
1784602254.389,29.5,82.7,True,False
1784602254.559,29.7,69.4,True,False
1784602254.729,29.9,69.4,True,False
1784602254.900,30.0,71.3,True,False
1784602255.060,30.2,59.2,True,False
1784602255.241,30.4,81.0,True,False
1784602255.411,30.6,70.1,True,False
1784602255.571,30.7,59.2,True,False
1784602255.751,30.9,80.3,True,False
1784602255.910,31.1,58.6,True,False
1784602256.069,31.2,58.8,True,False
1784602256.244,31.4,74.5,True,False
1784602256.415,31.6,70.3,True,False
1784602256.574,31.7,58.7,True,False
1784602256.733,31.9,59.1,True,False
1784602256.892,32.0,58.8,True,False
1784602257.067,32.2,74.5,True,False
1784602257.226,32.4,58.2,True,False
1784602257.407,32.6,81.6,True,False
1784602257.566,32.7,58.4,True,False
1784602257.744,32.9,77.6,True,False
1784602257.903,33.0,58.5,True,False
1784602258.082,33.2,78.7,True,False
1784602258.241,33.4,58.6,True,False
1784602258.408,33.6,67.2,True,False
1784602258.567,33.7,58.6,True,False
1784602258.726,33.9,58.6,True,False
1784602258.904,34.0,78.0,True,False
1784602259.063,34.2,58.4,True,False
1784602259.222,34.4,58.7,True,False
1784602259.381,34.5,58.8,True,False
1784602259.541,34.7,59.2,True,False
1784602259.709,34.9,67.5,True,False
1784602259.880,35.0,70.9,True,False
1784602260.049,35.2,69.2,True,False
1784602260.219,35.4,69.6,True,False
1784602260.379,35.5,59.3,True,False
1784602260.538,35.7,58.3,True,False
1784602260.713,35.9,74.8,True,False
1784602260.882,36.0,69.3,True,False
1784602261.041,36.2,58.8,True,False
1784602261.200,36.3,58.6,True,False
1784602261.360,36.5,59.0,True,False
1784602261.519,36.7,58.7,True,False
1784602261.678,36.8,59.3,True,False
1784602261.854,37.0,75.6,True,False
1784602262.029,37.2,74.4,True,False
1784602262.197,37.3,67.8,True,False
1784602262.369,37.5,71.7,True,False
1784602262.528,37.7,58.7,True,False
1784602262.686,37.8,57.8,True,False
1784602262.859,38.0,73.3,True,False
1784602263.029,38.2,69.9,True,False
1784602263.197,38.3,67.8,True,False
1784602263.357,38.5,58.9,True,False
1784602263.536,38.7,79.0,True,False
1784602263.706,38.8,69.4,True,False
1784602263.875,39.0,68.8,True,False
1784602264.034,39.2,58.5,True,False
1784602264.214,39.4,79.8,True,False
1784602264.372,39.5,58.3,True,False
1784602264.531,39.7,58.5,True,False
1784602264.690,39.8,58.8,True,False
1784602264.850,40.0,59.1,True,False
1784602265.029,40.2,78.6,True,False
1784602265.188,40.3,58.4,True,False
1784602265.367,40.5,79.1,True,False
1784602265.526,40.7,59.0,True,False
1784602265.705,40.8,78.9,True,False
1784602265.874,41.0,68.5,True,False
1784602266.034,41.2,59.3,True,False
1784602266.193,41.3,58.5,True,False
1784602266.351,41.5,58.0,True,False
1784602266.510,41.7,58.5,True,False
1784602266.669,41.8,58.7,True,False
1784602266.828,42.0,58.5,True,False
1784602267.001,42.1,73.7,True,False
1784602267.160,42.3,58.7,True,False
1784602267.319,42.5,58.8,True,False
1784602267.479,42.6,58.7,True,False
1784602267.638,42.8,58.8,True,False
1784602267.796,42.9,58.2,True,False
1784602267.973,43.1,77.0,True,False
1784602268.132,43.3,58.4,True,False
1784602268.291,43.4,58.5,True,False
1784602268.465,43.6,73.7,True,False
1784602268.634,43.8,68.4,True,False
1784602268.804,43.9,70.4,True,False
1784602268.964,44.1,59.0,True,False
1784602269.143,44.3,78.9,True,False
1784602269.302,44.4,58.7,True,False
1784602269.461,44.6,58.8,True,False
1784602269.621,44.8,59.0,True,False
1784602269.780,44.9,59.0,True,False
1784602269.939,45.1,58.3,True,False
1784602270.098,45.2,59.0,True,False
1784602270.257,45.4,58.2,True,False
1784602270.416,45.6,59.4,True,False
1784602270.575,45.7,58.3,True,False
1784602270.735,45.9,59.2,True,False
1784602270.895,46.0,59.8,True,False
1784602271.053,46.2,58.1,True,False
1784602271.226,46.4,72.8,True,False
1784602271.384,46.5,58.2,True,False
1784602271.543,46.7,58.4,True,False
1784602271.702,46.8,58.5,True,False
1784602271.861,47.0,58.8,True,False
1784602272.031,47.2,69.6,True,False
1784602272.189,47.3,58.0,True,False
1784602272.348,47.5,58.6,True,False
1784602272.508,47.7,58.9,True,False
1784602272.666,47.8,58.4,True,False
1784602272.825,48.0,58.8,True,False
1784602272.984,48.1,58.8,True,False
1784602273.143,48.3,58.4,True,False
1784602273.311,48.5,67.1,True,False
