ts,elapsed_s,latency_ms,ok,sla_violated
1784662933.349,0.1,99.8,True,False
1784662933.525,0.3,75.3,True,False
1784662933.687,0.4,62.0,True,False
1784662933.847,0.6,59.5,True,False
1784662934.007,0.8,60.1,True,False
1784662934.167,0.9,59.7,True,False
1784662934.327,1.1,59.5,True,False
1784662934.488,1.2,60.7,True,False
1784662934.661,1.4,73.4,True,False
1784662934.843,1.6,81.6,True,False
1784662935.003,1.8,59.7,True,False
1784662935.164,1.9,60.3,True,False
1784662935.324,2.1,60.1,True,False
1784662935.484,2.2,59.6,True,False
1784662935.644,2.4,59.8,True,False
1784662935.804,2.6,60.0,True,False
1784662935.965,2.7,60.2,True,False
1784662936.125,2.9,60.1,True,False
1784662936.286,3.0,60.2,True,False
1784662936.446,3.2,59.5,True,False
1784662936.605,3.4,59.5,True,False
1784662936.766,3.5,60.4,True,False
1784662936.926,3.7,59.4,True,False
1784662937.087,3.8,60.9,True,False
1784662937.247,4.0,60.1,True,False
1784662937.408,4.2,60.6,True,False
1784662937.569,4.3,60.2,True,False
1784662937.729,4.5,59.9,True,False
1784662937.890,4.6,60.2,True,False
1784662938.050,4.8,59.8,True,False
1784662938.211,5.0,60.5,True,False
1784662938.372,5.1,60.9,True,False
1784662938.533,5.3,60.6,True,False
1784662938.693,5.4,59.2,True,False
1784662938.863,5.6,69.7,True,False
1784662939.023,5.8,59.4,True,False
1784662939.183,5.9,59.9,True,False
1784662939.342,6.1,59.5,True,False
1784662939.502,6.3,59.3,True,False
1784662939.678,6.4,76.3,True,False
1784662939.838,6.6,59.6,True,False
1784662939.998,6.7,59.1,True,False
1784662940.157,6.9,59.6,True,False
1784662940.317,7.1,59.3,True,False
1784662940.477,7.2,59.6,True,False
1784662940.637,7.4,59.4,True,False
1784662940.797,7.5,59.9,True,False
1784662940.956,7.7,59.2,True,False
1784662941.116,7.9,59.5,True,False
1784662941.276,8.0,59.5,True,False
1784662941.436,8.2,59.7,True,False
1784662941.596,8.3,59.9,True,False
1784662941.756,8.5,59.9,True,False
1784662941.916,8.7,59.6,True,False
1784662942.077,8.8,60.4,True,False
1784662942.237,9.0,59.5,True,False
1784662942.397,9.1,59.9,True,False
1784662942.557,9.3,59.7,True,False
1784662942.718,9.5,60.1,True,False
1784662942.878,9.6,60.0,True,False
1784662943.038,9.8,59.9,True,False
1784662943.198,9.9,59.7,True,False
1784662943.357,10.1,59.2,True,False
1784662943.517,10.3,59.4,True,False
1784662943.677,10.4,59.7,True,False
1784662943.837,10.6,59.7,True,False
1784662943.996,10.7,59.0,True,False
1784662944.156,10.9,59.9,True,False
1784662944.316,11.1,59.4,True,False
1784662944.476,11.2,59.3,True,False
1784662944.636,11.4,59.5,True,False
1784662944.796,11.5,60.1,True,False
1784662944.956,11.7,59.4,True,False
1784662945.129,11.9,73.2,True,False
1784662945.289,12.0,59.4,True,False
1784662945.449,12.2,59.7,True,False
1784662945.609,12.4,59.5,True,False
1784662945.768,12.5,59.3,True,False
1784662945.928,12.7,59.7,True,False
1784662946.089,12.8,60.0,True,False
1784662946.249,13.0,59.7,True,False
1784662946.410,13.2,60.1,True,False
1784662946.569,13.3,59.6,True,False
1784662946.730,13.5,59.6,True,False
1784662946.889,13.6,59.7,True,False
1784662947.049,13.8,59.5,True,False
1784662947.209,14.0,59.5,True,False
1784662947.370,14.1,60.1,True,False
1784662947.529,14.3,59.4,True,False
1784662947.689,14.4,59.5,True,False
1784662947.850,14.6,59.6,True,False
1784662948.009,14.8,58.9,True,False
1784662948.169,14.9,59.7,True,False
1784662948.329,15.1,59.4,True,False
1784662948.489,15.2,59.5,True,False
