cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T04:03:44.907471,0.3,66.5,0.00,False,NONE,3,3
2,2026-07-22T04:03:50.217363,5.7,62.2,0.00,False,NONE,3,3
3,2026-07-22T04:03:55.519001,11.0,59.1,0.00,False,NONE,3,3
4,2026-07-22T04:04:00.839371,16.3,63.0,0.00,False,NONE,2,2
5,2026-07-22T04:04:06.138619,21.6,58.5,0.00,False,NONE,3,3
6,2026-07-22T04:04:11.502205,26.9,67.1,0.00,False,NONE,3,3
7,2026-07-22T04:04:16.847136,32.3,67.8,0.00,False,NONE,2,2
8,2026-07-22T04:04:22.146534,37.6,58.6,0.00,False,NONE,3,3
9,2026-07-22T04:04:27.470591,42.9,59.1,0.00,False,NONE,3,3
10,2026-07-22T04:04:32.797307,48.2,58.8,0.00,False,NONE,3,3
11,2026-07-22T04:04:38.107339,53.5,60.8,0.00,False,NONE,3,3
12,2026-07-22T04:04:43.407703,58.8,58.8,0.00,False,NONE,3,3
13,2026-07-22T04:04:48.720945,64.2,61.6,0.00,False,NONE,2,2
14,2026-07-22T04:04:54.031582,69.5,60.9,0.00,False,NONE,3,3
15,2026-07-22T04:05:00.315298,75.8,244.4,0.00,True,SCALE_UP,3,36
16,2026-07-22T04:05:06.534120,82.0,238.4,0.00,True,SCALE_UP,2,13
17,2026-07-22T04:05:11.855294,87.3,60.1,0.00,False,NONE,2,2
18,2026-07-22T04:05:18.558837,94.0,335.1,0.00,True,SCALE_UP,2,13
19,2026-07-22T04:05:23.864926,99.3,60.2,0.00,False,NONE,2,2
20,2026-07-22T04:05:30.094134,105.5,238.4,0.00,True,SCALE_UP,2,11
21,2026-07-22T04:05:35.430663,110.9,66.2,0.00,False,NONE,2,2
22,2026-07-22T04:05:40.744403,116.2,61.7,0.00,False,NONE,2,2
23,2026-07-22T04:05:46.075156,121.5,64.4,0.00,False,NONE,3,3
24,2026-07-22T04:05:51.394565,126.8,58.1,0.00,False,NONE,2,2
25,2026-07-22T04:05:58.077912,133.5,328.4,0.00,True,SCALE_UP,3,13
26,2026-07-22T04:06:03.391762,138.8,61.5,0.00,False,NONE,3,3
27,2026-07-22T04:06:08.709292,144.1,62.2,0.00,False,NONE,3,3
28,2026-07-22T04:06:14.008355,149.4,58.5,0.00,False,NONE,3,3
29,2026-07-22T04:06:19.613312,155.1,119.9,0.60,True,FALLBACK,2,2
30,2026-07-22T04:06:24.915047,160.4,59.2,0.20,True,RETRY,2,2
31,2026-07-22T04:06:31.587238,167.0,331.2,0.00,True,SCALE_UP,2,12
32,2026-07-22T04:06:36.801446,172.2,41.7,0.40,True,RETRY,2,2
33,2026-07-22T04:06:42.014459,177.5,41.5,0.40,True,RETRY,2,2
34,2026-07-22T04:06:47.229129,182.7,36.8,0.40,True,RETRY,3,3
35,2026-07-22T04:06:52.499990,187.9,53.0,0.20,True,RETRY,2,2
36,2026-07-22T04:06:58.729135,194.2,242.7,0.00,True,SCALE_UP,2,12
37,2026-07-22T04:07:04.025521,199.5,58.2,0.00,False,NONE,2,2
38,2026-07-22T04:07:09.323920,204.8,58.7,0.00,False,NONE,2,2
39,2026-07-22T04:07:14.631653,210.1,60.4,0.00,False,NONE,2,2
40,2026-07-22T04:07:20.324332,215.8,137.4,0.20,True,RETRY,2,2
41,2026-07-22T04:07:25.621134,221.1,58.3,0.00,False,NONE,2,2
42,2026-07-22T04:07:30.772573,226.2,29.2,0.60,True,FALLBACK,2,2
43,2026-07-22T04:07:37.461574,232.9,334.6,0.00,True,SCALE_UP,2,12
44,2026-07-22T04:07:42.651211,238.1,36.9,0.40,True,RETRY,2,2
45,2026-07-22T04:07:49.341132,244.8,330.7,0.00,True,SCALE_UP,2,11
46,2026-07-22T04:07:56.018856,251.5,328.5,0.00,True,SCALE_UP,2,12
47,2026-07-22T04:08:02.722593,258.2,333.4,0.00,True,SCALE_UP,2,14
48,2026-07-22T04:08:09.401694,264.8,332.6,0.00,True,SCALE_UP,2,12
49,2026-07-22T04:08:14.740799,270.2,66.7,0.00,False,NONE,2,2
50,2026-07-22T04:08:20.681816,276.1,186.9,0.40,True,RETRY,3,3
51,2026-07-22T04:08:27.442404,282.9,348.3,0.20,True,SCALE_UP,3,16
52,2026-07-22T04:08:32.761945,288.2,62.8,0.00,False,NONE,2,2
53,2026-07-22T04:08:38.073107,293.5,61.1,0.00,False,NONE,2,2
54,2026-07-22T04:08:43.350578,298.8,49.7,0.20,True,RETRY,2,2
55,2026-07-22T04:08:48.702928,304.1,65.0,0.00,False,NONE,3,3
56,2026-07-22T04:08:53.946060,309.4,47.6,0.20,True,RETRY,2,2
57,2026-07-22T04:09:00.752987,316.2,358.3,0.00,True,SCALE_UP,2,11
58,2026-07-22T04:09:06.077337,321.5,61.7,0.00,False,NONE,2,2
59,2026-07-22T04:09:11.373752,326.8,58.2,0.00,False,NONE,2,2
60,2026-07-22T04:09:16.714190,332.2,66.8,0.00,False,NONE,3,3
61,2026-07-22T04:09:27.534209,343.0,1155.7,0.20,True,SCALE_UP,2,13
62,2026-07-22T04:09:37.395070,352.8,968.9,0.40,True,SCALE_UP,2,13
63,2026-07-22T04:09:49.230154,364.7,1363.8,0.00,True,SCALE_UP,2,12
64,2026-07-22T04:09:58.921137,374.4,935.1,0.40,True,SCALE_UP,2,12
65,2026-07-22T04:10:10.461055,385.9,1304.9,0.00,True,SCALE_UP,2,12
66,2026-07-22T04:10:22.660903,398.1,1431.4,0.00,True,SCALE_UP,2,14
67,2026-07-22T04:10:35.802108,411.2,1625.3,0.00,True,SCALE_UP,2,12
68,2026-07-22T04:10:47.097670,422.5,1252.9,0.20,True,SCALE_UP,2,11
69,2026-07-22T04:10:58.225634,433.7,1218.5,0.20,True,SCALE_UP,2,12
70,2026-07-22T04:11:08.502305,443.9,1049.3,0.20,True,SCALE_UP,2,12
71,2026-07-22T04:11:19.715345,455.2,1239.5,0.20,True,SCALE_UP,2,12
72,2026-07-22T04:11:31.463601,466.9,1342.4,0.00,True,SCALE_UP,3,13
73,2026-07-22T04:11:43.057576,478.5,1315.2,0.00,True,SCALE_UP,2,14
74,2026-07-22T04:11:52.567618,488.0,898.2,0.40,True,SCALE_UP,2,15
75,2026-07-22T04:12:04.162437,499.6,1315.7,0.00,True,SCALE_UP,2,13
76,2026-07-22T04:12:10.943001,506.4,350.0,0.20,True,SCALE_UP,2,12
77,2026-07-22T04:12:16.252843,511.7,58.5,0.00,False,NONE,2,2
78,2026-07-22T04:12:23.126790,518.6,368.3,0.00,True,SCALE_UP,2,12
79,2026-07-22T04:12:28.423795,523.9,58.2,0.00,False,NONE,2,2
80,2026-07-22T04:12:35.194748,530.6,347.6,0.20,True,SCALE_UP,2,15
81,2026-07-22T04:12:40.554853,536.0,67.4,0.00,False,NONE,2,2
82,2026-07-22T04:12:45.889029,541.3,62.6,0.00,False,NONE,2,2
83,2026-07-22T04:12:51.227966,546.7,66.6,0.00,False,NONE,2,2
84,2026-07-22T04:12:57.287853,552.7,208.9,0.00,True,SCALE_UP,2,12
85,2026-07-22T04:13:04.056360,559.5,348.0,0.20,True,SCALE_UP,2,12
86,2026-07-22T04:13:09.350130,564.8,57.6,1.00,True,FALLBACK,2,2
87,2026-07-22T04:13:20.708079,576.1,1266.9,1.00,True,FALLBACK,2,2
88,2026-07-22T04:13:33.103265,588.5,1477.7,1.00,True,FALLBACK,3,3
89,2026-07-22T04:13:43.511282,599.0,1078.5,1.00,True,FALLBACK,2,2
90,2026-07-22T04:13:53.929314,609.4,1080.1,1.00,True,FALLBACK,2,2
91,2026-07-22T04:14:06.674885,622.1,1548.0,1.00,True,FALLBACK,2,2
92,2026-07-22T04:14:13.519073,629.0,362.0,0.00,True,SCALE_UP,2,20
93,2026-07-22T04:14:18.847954,634.3,64.7,0.00,False,NONE,2,2
94,2026-07-22T04:14:24.172002,639.6,60.4,0.00,False,NONE,2,2
95,2026-07-22T04:14:29.488815,644.9,62.3,0.00,False,NONE,2,2
96,2026-07-22T04:14:35.428528,650.9,186.9,0.40,True,RETRY,2,2
97,2026-07-22T04:14:41.553050,657.0,220.8,0.00,True,SCALE_UP,2,17
98,2026-07-22T04:14:46.900816,662.3,65.9,0.00,False,NONE,2,2
99,2026-07-22T04:14:52.247061,667.7,68.1,0.00,False,NONE,2,2
100,2026-07-22T04:14:57.609356,673.0,67.3,0.00,False,NONE,3,3
101,2026-07-22T04:15:02.715073,678.2,20.0,0.80,True,FALLBACK,2,2
102,2026-07-22T04:15:08.064379,683.5,63.8,0.00,False,NONE,2,2
103,2026-07-22T04:15:13.394812,688.8,65.0,0.00,False,NONE,2,2
104,2026-07-22T04:15:18.748245,694.2,65.4,0.00,False,NONE,2,2
105,2026-07-22T04:15:24.045122,699.5,58.1,0.00,False,NONE,3,3
106,2026-07-22T04:15:29.367854,704.8,63.3,0.00,False,NONE,3,3
107,2026-07-22T04:15:34.665841,710.1,58.4,0.00,False,NONE,3,3
108,2026-07-22T04:15:39.991100,715.4,61.5,0.00,False,NONE,3,3
109,2026-07-22T04:15:46.718702,722.2,341.3,0.40,True,SCALE_UP,2,17
110,2026-07-22T04:15:52.026985,727.5,60.5,0.00,False,NONE,2,2
111,2026-07-22T04:15:58.010663,733.4,191.0,0.40,True,RETRY,2,2
112,2026-07-22T04:16:03.309404,738.7,58.5,0.00,False,NONE,3,3
113,2026-07-22T04:16:16.766400,752.2,1690.3,1.00,True,FALLBACK,2,2
114,2026-07-22T04:16:26.091369,761.5,861.8,1.00,True,FALLBACK,2,2
115,2026-07-22T04:16:35.425914,770.9,865.8,1.00,True,FALLBACK,2,2
116,2026-07-22T04:16:44.150270,779.6,739.5,1.00,True,FALLBACK,2,2
117,2026-07-22T04:16:55.590339,791.0,1286.9,1.00,True,FALLBACK,2,2
118,2026-07-22T04:17:07.183906,802.6,1317.7,1.00,True,FALLBACK,2,2
119,2026-07-22T04:17:13.990507,809.4,354.1,0.20,True,SCALE_UP,2,17
120,2026-07-22T04:17:21.996737,817.4,598.2,0.00,True,SCALE_UP,2,12
121,2026-07-22T04:17:29.781776,825.2,553.0,0.20,True,SCALE_UP,2,16
122,2026-07-22T04:17:35.365525,830.8,111.5,0.00,True,NONE,2,2
123,2026-07-22T04:17:40.744440,836.2,70.5,0.00,False,NONE,2,2
124,2026-07-22T04:17:47.443918,842.9,336.8,0.40,True,SCALE_UP,2,11
125,2026-07-22T04:17:52.766776,848.2,59.0,0.00,False,NONE,2,2
126,2026-07-22T04:17:58.074932,853.5,60.5,0.00,False,NONE,2,2
127,2026-07-22T04:18:03.407175,858.8,61.3,0.00,False,NONE,2,2
128,2026-07-22T04:18:08.737007,864.2,62.4,0.00,False,NONE,2,2
129,2026-07-22T04:18:14.640997,870.1,179.8,0.60,True,FALLBACK,2,2
130,2026-07-22T04:18:19.970913,875.4,61.0,0.00,False,NONE,2,2
131,2026-07-22T04:18:25.288816,880.7,58.5,0.00,False,NONE,2,2
132,2026-07-22T04:18:32.861028,888.3,508.7,0.00,True,SCALE_UP,2,13
133,2026-07-22T04:18:39.615390,895.1,347.9,0.20,True,SCALE_UP,2,11
134,2026-07-22T04:18:44.939187,900.4,58.5,0.00,False,NONE,3,3
135,2026-07-22T04:18:50.894134,906.3,189.9,0.40,True,RETRY,2,2
136,2026-07-22T04:18:56.215894,911.7,60.5,0.00,False,NONE,2,2
137,2026-07-22T04:19:01.529945,917.0,58.0,0.00,False,NONE,2,2
138,2026-07-22T04:19:06.859990,922.3,61.1,0.00,False,NONE,2,2
139,2026-07-22T04:19:12.184816,927.6,63.9,0.00,False,NONE,2,2
140,2026-07-22T04:19:19.013183,934.5,358.3,0.00,True,SCALE_UP,2,12
141,2026-07-22T04:19:24.353790,939.8,63.1,0.00,False,NONE,2,2
142,2026-07-22T04:19:30.317212,945.8,189.3,0.40,True,RETRY,2,2
