ts,elapsed_s,latency_ms,ok,sla_violated
1784682056.040,0.1,101.3,True,False
1784682056.222,0.3,81.5,True,False
1784682056.393,0.5,70.7,True,False
1784682056.563,0.6,69.3,True,False
1784682056.725,0.8,61.1,True,False
1784682056.885,0.9,59.7,True,False
1784682057.045,1.1,59.9,True,False
1784682057.228,1.3,82.3,True,False
1784682057.387,1.4,59.5,True,False
1784682057.547,1.6,59.7,True,False
1784682057.707,1.8,59.6,True,False
1784682057.881,1.9,72.9,True,False
1784682058.041,2.1,60.5,True,False
1784682058.201,2.3,59.5,True,False
1784682058.361,2.4,59.8,True,False
1784682058.544,2.6,82.4,True,False
1784682058.712,2.8,68.2,True,False
1784682058.872,2.9,59.6,True,False
1784682059.032,3.1,59.9,True,False
1784682059.192,3.3,59.5,True,False
1784682059.352,3.4,59.7,True,False
1784682059.512,3.6,59.6,True,False
1784682059.685,3.7,72.6,True,False
1784682059.845,3.9,60.0,True,False
1784682060.005,4.1,60.1,True,False
1784682060.165,4.2,59.7,True,False
1784682060.326,4.4,60.1,True,False
1784682060.486,4.5,60.4,True,False
1784682060.647,4.7,59.6,True,False
1784682060.808,4.9,61.0,True,False
1784682060.968,5.0,59.1,True,False
1784682061.128,5.2,59.5,True,False
1784682061.287,5.3,59.4,True,False
1784682061.448,5.5,60.8,True,False
1784682061.628,5.7,79.3,True,False
1784682061.788,5.8,59.6,True,False
1784682061.947,6.0,59.5,True,False
1784682062.107,6.2,59.4,True,False
1784682062.267,6.3,59.7,True,False
1784682062.427,6.5,59.8,True,False
1784682062.587,6.6,59.8,True,False
1784682062.767,6.8,79.0,True,False
1784682062.926,7.0,59.4,True,False
1784682063.086,7.1,59.6,True,False
1784682063.245,7.3,59.1,True,False
1784682063.405,7.5,59.2,True,False
1784682063.565,7.6,59.5,True,False
1784682063.725,7.8,59.3,True,False
1784682063.885,7.9,60.2,True,False
1784682064.045,8.1,59.5,True,False
1784682064.225,8.3,80.5,True,False
1784682064.385,8.4,60.1,True,False
1784682064.546,8.6,60.6,True,False
1784682064.706,8.8,59.7,True,False
1784682064.866,8.9,59.5,True,False
1784682065.044,9.1,77.6,True,False
1784682065.204,9.3,59.3,True,False
1784682065.363,9.4,59.8,True,False
1784682065.522,9.6,58.8,True,False
1784682065.682,9.7,59.4,True,False
1784682065.842,9.9,59.4,True,False
1784682066.001,10.1,59.1,True,False
1784682066.161,10.2,59.5,True,False
1784682066.333,10.4,71.4,True,False
1784682066.493,10.6,59.7,True,False
1784682066.652,10.7,59.3,True,False
1784682066.812,10.9,59.4,True,False
1784682066.972,11.0,59.4,True,False
1784682067.132,11.2,60.3,True,False
1784682067.292,11.4,59.6,True,False
1784682067.463,11.5,70.6,True,False
1784682067.622,11.7,59.3,True,False
1784682067.782,11.8,59.2,True,False
1784682067.941,12.0,59.3,True,False
1784682068.101,12.2,59.7,True,False
1784682068.261,12.3,59.4,True,False
1784682068.421,12.5,59.3,True,False
1784682068.580,12.6,59.0,True,False
1784682068.752,12.8,71.0,True,False
1784682068.912,13.0,60.0,True,False
1784682069.072,13.1,59.6,True,False
1784682069.232,13.3,60.0,True,False
1784682069.393,13.5,60.7,True,False
1784682069.554,13.6,60.6,True,False
1784682069.714,13.8,60.3,True,False
1784682069.874,13.9,60.0,True,False
1784682070.034,14.1,59.6,True,False
1784682070.195,14.3,60.3,True,False
1784682070.355,14.4,59.9,True,False
1784682070.515,14.6,59.8,True,False
1784682070.675,14.7,59.6,True,False
1784682070.835,14.9,59.6,True,False
1784682070.995,15.1,59.0,True,False
1784682071.154,15.2,59.4,True,False
1784682071.314,15.4,59.8,True,False
1784682071.474,15.5,59.3,True,False
1784682071.634,15.7,59.5,True,False
1784682071.794,15.9,59.6,True,False
1784682071.953,16.0,59.1,True,False
1784682072.113,16.2,59.4,True,False
1784682072.272,16.3,59.6,True,False
1784682072.433,16.5,59.8,True,False
1784682072.592,16.7,59.3,True,False
1784682072.752,16.8,59.8,True,False
1784682072.912,17.0,59.0,True,False
1784682073.071,17.1,58.9,True,False
1784682073.230,17.3,59.4,True,False
1784682073.401,17.5,70.1,True,False
1784682073.560,17.6,59.1,True,False
1784682073.721,17.8,59.9,True,False
1784682073.880,17.9,59.7,True,False
1784682074.041,18.1,59.8,True,False
1784682074.200,18.3,59.2,True,False
1784682074.360,18.4,59.7,True,False
1784682074.519,18.6,58.8,True,False
1784682074.679,18.7,59.3,True,False
1784682074.839,18.9,59.7,True,False
1784682075.010,19.1,70.4,True,False
1784682075.169,19.2,59.4,True,False
1784682075.329,19.4,59.4,True,False
1784682075.489,19.6,59.7,True,False
1784682075.660,19.7,70.5,True,False
1784682075.820,19.9,59.6,True,False
1784682075.980,20.0,59.5,True,False
1784682076.140,20.2,59.8,True,False
1784682076.299,20.4,59.0,True,False
1784682076.458,20.5,59.1,True,False
1784682076.619,20.7,60.2,True,False
1784682076.779,20.8,59.7,True,False
1784682076.939,21.0,59.7,True,False
1784682077.121,21.2,81.8,True,False
1784682077.281,21.3,59.5,True,False
1784682077.441,21.5,60.0,True,False
1784682077.601,21.7,59.7,True,False
1784682077.761,21.8,59.6,True,False
1784682077.921,22.0,59.3,True,False
1784682078.081,22.1,59.5,True,False
1784682078.241,22.3,60.1,True,False
1784682078.400,22.5,59.2,True,False
1784682078.560,22.6,59.3,True,False
1784682078.721,22.8,60.2,True,False
1784682078.880,22.9,59.1,True,False
1784682079.041,23.1,59.9,True,False
1784682079.201,23.3,60.2,True,False
1784682079.362,23.4,60.1,True,False
1784682079.521,23.6,59.2,True,False
1784682079.681,23.7,59.3,True,False
1784682079.841,23.9,60.1,True,False
1784682080.001,24.1,59.5,True,False
1784682080.162,24.2,60.2,True,False
1784682080.322,24.4,59.8,True,False
1784682080.482,24.5,59.6,True,False
1784682080.642,24.7,59.5,True,False
1784682080.802,24.9,59.7,True,False
1784682080.961,25.0,59.4,True,False
1784682081.121,25.2,59.4,True,False
1784682081.281,25.3,59.9,True,False
1784682081.441,25.5,59.3,True,False
1784682081.601,25.7,59.8,True,False
1784682081.761,25.8,59.6,True,False
1784682081.921,26.0,59.4,True,False
1784682082.081,26.1,59.3,True,False
1784682082.261,26.3,80.2,True,False
1784682082.421,26.5,59.8,True,False
1784682082.581,26.6,59.4,True,False
1784682082.741,26.8,59.7,True,False
1784682082.900,27.0,58.8,True,False
1784682083.060,27.1,59.5,True,False
1784682083.220,27.3,59.8,True,False
1784682083.379,27.4,59.4,True,False
1784682083.539,27.6,59.4,True,False
1784682083.699,27.8,59.5,True,False
1784682083.871,27.9,71.7,True,False
1784682084.031,28.1,59.6,True,False
1784682084.209,28.3,77.5,True,False
1784682084.369,28.4,59.6,True,False
1784682084.530,28.6,60.6,True,False
1784682084.691,28.8,60.5,True,False
1784682084.852,28.9,59.9,True,False
1784682085.012,29.1,59.7,True,False
1784682085.172,29.2,59.4,True,False
1784682085.332,29.4,59.5,True,False
1784682085.491,29.6,59.9,True,False
1784682085.651,29.7,59.3,True,False
1784682085.811,29.9,59.3,True,False
1784682085.981,30.0,69.6,True,False
1784682086.141,30.2,59.9,True,False
1784682086.301,30.4,59.9,True,False
1784682086.461,30.5,59.1,True,False
1784682086.621,30.7,59.9,True,False
