ts,elapsed_s,latency_ms,ok,sla_violated
1781024516.857,0.1,99.2,True,False
1781024517.013,0.3,56.0,True,False
1781024517.169,0.4,56.0,True,False
1781024517.325,0.6,56.3,True,False
1781024517.497,0.7,71.5,True,False
1781024517.654,0.9,55.8,True,False
1781024517.810,1.1,56.4,True,False
1781024517.966,1.2,55.8,True,False
1781024518.123,1.4,55.9,True,False
1781024518.279,1.5,56.1,True,False
1781024518.435,1.7,56.0,True,False
1781024518.613,1.9,77.8,True,False
1781024518.769,2.0,55.8,True,False
1781024518.926,2.2,56.0,True,False
1781024519.097,2.3,70.8,True,False
1781024519.255,2.5,58.0,True,False
1781024519.423,2.7,67.7,True,False
1781024519.579,2.8,55.5,True,False
1781024519.735,3.0,55.8,True,False
1781024519.892,3.1,56.3,True,False
1781024520.048,3.3,55.7,True,False
1781024520.205,3.4,56.2,True,False
1781024520.361,3.6,56.0,True,False
1781024520.517,3.8,56.1,True,False
1781024520.674,3.9,56.5,True,False
1781024520.830,4.1,56.1,True,False
1781024520.986,4.2,56.3,True,False
1781024521.143,4.4,56.1,True,False
1781024521.299,4.5,56.1,True,False
1781024521.456,4.7,56.6,True,False
1781024521.613,4.9,56.5,True,False
1781024521.769,5.0,55.9,True,False
1781024521.925,5.2,55.8,True,False
1781024522.081,5.3,55.6,True,False
1781024522.237,5.5,55.9,True,False
1781024522.394,5.6,56.1,True,False
1781024522.550,5.8,55.8,True,False
1781024522.707,5.9,56.3,True,False
1781024522.863,6.1,56.1,True,False
1781024523.019,6.3,56.0,True,False
1781024523.176,6.4,56.0,True,False
1781024523.332,6.6,56.1,True,False
1781024523.489,6.7,56.3,True,False
1781024523.646,6.9,56.0,True,False
1781024523.802,7.0,55.9,True,False
1781024523.958,7.2,56.1,True,False
1781024524.114,7.4,55.7,True,False
1781024524.270,7.5,55.8,True,False
1781024524.427,7.7,56.2,True,False
1781024524.583,7.8,55.9,True,False
1781024524.739,8.0,55.9,True,False
1781024524.896,8.1,56.0,True,False
1781024525.052,8.3,56.1,True,False
1781024525.209,8.5,56.1,True,False
1781024525.365,8.6,56.2,True,False
1781024525.521,8.8,55.7,True,False
