ts,elapsed_s,latency_ms,ok,sla_violated
1780947873.819,0.1,129.4,True,False
1780947873.976,0.3,56.3,True,False
1780947874.132,0.4,56.2,True,False
1780947874.288,0.6,55.9,True,False
1780947874.444,0.8,56.1,True,False
1780947874.602,0.9,56.6,True,False
1780947874.784,1.1,82.1,True,False
1780947874.941,1.3,56.2,True,False
1780947875.098,1.4,56.6,True,False
1780947875.255,1.6,56.7,True,False
1780947875.411,1.7,55.8,True,False
1780947875.568,1.9,56.2,True,False
1780947875.724,2.0,56.0,True,False
1780947875.881,2.2,56.3,True,False
1780947876.037,2.3,56.3,True,False
1780947876.194,2.5,56.1,True,False
1780947876.351,2.7,56.3,True,False
1780947876.507,2.8,56.6,True,False
1780947876.664,3.0,56.4,True,False
1780947876.821,3.1,57.2,True,False
1780947876.978,3.3,56.5,True,False
1780947877.134,3.4,56.1,True,False
1780947877.291,3.6,56.4,True,False
1780947877.447,3.8,56.0,True,False
1780947877.604,3.9,56.3,True,False
1780947877.760,4.1,56.1,True,False
1780947877.917,4.2,56.3,True,False
1780947878.073,4.4,56.4,True,False
1780947878.230,4.5,56.2,True,False
1780947878.387,4.7,56.6,True,False
1780947878.544,4.9,56.8,True,False
1780947878.701,5.0,56.7,True,False
1780947878.857,5.2,56.2,True,False
1780947879.014,5.3,56.2,True,False
1780947879.171,5.5,56.7,True,False
1780947879.328,5.6,56.5,True,False
1780947879.485,5.8,57.0,True,False
1780947879.641,6.0,56.0,True,False
1780947879.798,6.1,56.6,True,False
1780947879.955,6.3,56.3,True,False
1780947880.111,6.4,56.1,True,False
1780947880.268,6.6,55.9,True,False
1780947880.424,6.7,56.2,True,False
1780947880.580,6.9,56.0,True,False
1780947880.737,7.0,56.1,True,False
1780947880.893,7.2,56.0,True,False
1780947881.049,7.4,55.8,True,False
1780947881.205,7.5,56.2,True,False
1780947881.362,7.7,56.5,True,False
1780947881.519,7.8,56.5,True,False
1780947881.675,8.0,56.4,True,False
1780947881.832,8.1,56.6,True,False
1780947881.989,8.3,56.3,True,False
1780947882.146,8.5,56.4,True,False
1780947882.302,8.6,56.1,True,False
1780947882.458,8.8,56.1,True,False
1780947882.615,8.9,55.7,True,False
1780947882.771,9.1,55.9,True,False
1780947882.928,9.2,56.2,True,False
1780947883.084,9.4,56.4,True,False
1780947883.256,9.6,71.8,True,False
1780947883.413,9.7,56.3,True,False
1780947883.570,9.9,56.2,True,False
1780947883.726,10.0,55.8,True,False
1780947883.882,10.2,56.4,True,False
1780947884.038,10.3,55.8,True,False
1780947884.195,10.5,56.0,True,False
1780947884.351,10.7,55.8,True,False
1780947884.508,10.8,56.5,True,False
1780947884.665,11.0,56.5,True,False
1780947884.822,11.1,56.6,True,False
1780947884.978,11.3,56.2,True,False
1780947885.134,11.4,56.0,True,False
1780947885.291,11.6,56.4,True,False
1780947885.447,11.8,56.1,True,False
1780947885.604,11.9,56.2,True,False
1780947885.760,12.1,56.2,True,False
1780947885.916,12.2,56.3,True,False
1780947886.073,12.4,56.7,True,False
1780947886.230,12.5,56.3,True,False
1780947886.386,12.7,56.0,True,False
1780947886.543,12.9,56.3,True,False
1780947886.699,13.0,55.9,True,False
1780947886.855,13.2,56.0,True,False
1780947887.012,13.3,56.2,True,False
1780947887.169,13.5,56.3,True,False
1780947887.325,13.6,56.3,True,False
1780947887.482,13.8,56.5,True,False
1780947887.638,13.9,56.3,True,False
1780947887.794,14.1,56.0,True,False
1780947887.951,14.3,56.3,True,False
1780947888.107,14.4,55.9,True,False
1780947888.263,14.6,55.9,True,False
1780947888.420,14.7,56.5,True,False
1780947888.577,14.9,56.2,True,False
1780947888.734,15.0,56.4,True,False
1780947888.890,15.2,56.0,True,False
1780947889.046,15.4,56.1,True,False
1780947889.202,15.5,56.2,True,False
1780947889.359,15.7,56.0,True,False
1780947889.515,15.8,56.1,True,False
1780947889.672,16.0,56.1,True,False
1780947889.828,16.1,56.1,True,False
1780947889.985,16.3,56.6,True,False
1780947890.141,16.5,56.6,True,False
1780947890.298,16.6,56.3,True,False
1780947890.455,16.8,56.5,True,False
1780947890.612,16.9,56.3,True,False
1780947890.769,17.1,57.3,True,False
1780947890.926,17.2,56.2,True,False
1780947891.082,17.4,56.1,True,False
1780947891.239,17.5,56.1,True,False
1780947891.396,17.7,56.7,True,False
1780947891.554,17.9,57.4,True,False
1780947891.711,18.0,57.0,True,False
1780947891.868,18.2,57.5,True,False
1780947892.026,18.3,57.0,True,False
1780947892.182,18.5,56.6,True,False
1780947892.339,18.6,56.3,True,False
1780947892.496,18.8,56.1,True,False
1780947892.652,19.0,55.9,True,False
1780947892.808,19.1,56.2,True,False
1780947892.965,19.3,56.3,True,False
1780947893.122,19.4,56.5,True,False
1780947893.297,19.6,74.9,True,False
1780947893.454,19.8,56.0,True,False
1780947893.609,19.9,55.5,True,False
1780947893.765,20.1,55.9,True,False
1780947893.921,20.2,55.9,True,False
1780947894.077,20.4,55.8,True,False
1780947894.254,20.6,76.4,True,False
1780947894.410,20.7,56.0,True,False
1780947894.567,20.9,56.2,True,False
1780947894.723,21.0,55.7,True,False
1780947894.879,21.2,56.2,True,False
1780947895.035,21.3,55.9,True,False
1780947895.192,21.5,56.3,True,False
1780947895.348,21.7,56.1,True,False
1780947895.504,21.8,55.9,True,False
1780947895.661,22.0,56.1,True,False
1780947895.817,22.1,55.9,True,False
1780947895.973,22.3,55.8,True,False
1780947896.130,22.4,56.1,True,False
1780947896.302,22.6,71.5,True,False
1780947896.472,22.8,70.2,True,False
1780947896.629,22.9,56.9,True,False
1780947896.786,23.1,56.3,True,False
1780947896.942,23.3,56.1,True,False
1780947897.099,23.4,56.1,True,False
1780947897.255,23.6,56.3,True,False
1780947897.412,23.7,56.6,True,False
1780947897.568,23.9,56.3,True,False
1780947897.725,24.0,56.3,True,False
1780947897.881,24.2,55.5,True,False
1780947898.037,24.3,56.2,True,False
1780947898.194,24.5,56.4,True,False
1780947898.350,24.7,56.3,True,False
1780947898.520,24.8,69.7,True,False
1780947898.677,25.0,56.5,True,False
1780947898.835,25.1,57.7,True,False
1780947898.992,25.3,56.4,True,False
1780947899.149,25.5,56.6,True,False
1780947899.318,25.6,68.6,True,False
1780947899.474,25.8,55.9,True,False
1780947899.630,25.9,56.4,True,False
1780947899.787,26.1,56.5,True,False
1780947899.944,26.3,56.0,True,False
1780947900.100,26.4,56.4,True,False
1780947900.257,26.6,56.3,True,False
1780947900.413,26.7,56.3,True,False
1780947900.569,26.9,56.2,True,False
1780947900.726,27.0,56.1,True,False
1780947900.882,27.2,56.0,True,False
1780947901.039,27.3,56.1,True,False
1780947901.195,27.5,56.0,True,False
1780947901.352,27.7,56.2,True,False
1780947901.508,27.8,56.2,True,False
1780947901.665,28.0,56.1,True,False
1780947901.821,28.1,56.1,True,False
1780947901.977,28.3,56.0,True,False
1780947902.133,28.4,56.0,True,False
1780947902.289,28.6,55.7,True,False
1780947902.445,28.8,56.0,True,False
1780947902.602,28.9,56.2,True,False
1780947902.759,29.1,56.2,True,False
1780947902.916,29.2,57.4,True,False
1780947903.073,29.4,56.3,True,False
1780947903.230,29.5,56.8,True,False
1780947903.387,29.7,56.6,True,False
1780947903.543,29.9,56.1,True,False
1780947903.700,30.0,56.5,True,False
1780947903.857,30.2,56.6,True,False
1780947904.013,30.3,56.1,True,False
1780947904.170,30.5,56.4,True,False
1780947904.326,30.6,56.1,True,False
1780947904.483,30.8,56.1,True,False
1780947904.639,30.9,56.1,True,False
1780947904.796,31.1,56.0,True,False
1780947904.952,31.3,56.2,True,False
1780947905.108,31.4,56.1,True,False
1780947905.265,31.6,56.4,True,False
1780947905.421,31.7,56.0,True,False
1780947905.578,31.9,56.5,True,False
1780947905.735,32.0,57.0,True,False
1780947905.892,32.2,56.0,True,False
1780947906.048,32.4,56.5,True,False
1780947906.206,32.5,56.7,True,False
1780947906.362,32.7,56.2,True,False
1780947906.519,32.8,56.3,True,False
1780947906.675,33.0,56.4,True,False
1780947906.832,33.1,56.5,True,False
1780947906.989,33.3,56.5,True,False
1780947907.146,33.5,56.9,True,False
1780947907.303,33.6,56.3,True,False
1780947907.459,33.8,56.6,True,False
1780947907.616,33.9,56.1,True,False
1780947907.772,34.1,56.4,True,False
1780947907.929,34.2,56.1,True,False
1780947908.085,34.4,56.4,True,False
1780947908.242,34.6,56.2,True,False
1780947908.398,34.7,56.4,True,False
1780947908.555,34.9,56.4,True,False
1780947908.712,35.0,56.3,True,False
1780947908.868,35.2,56.6,True,False
1780947909.025,35.3,56.3,True,False
1780947909.182,35.5,56.7,True,False
1780947909.340,35.6,57.5,True,False
1780947909.501,35.8,61.3,True,False
1780947909.658,36.0,56.5,True,False
1780947909.815,36.1,56.2,True,False
1780947909.972,36.3,56.3,True,False
1780947910.129,36.4,56.6,True,False
1780947910.285,36.6,56.2,True,False
1780947910.442,36.8,56.0,True,False
1780947910.599,36.9,56.8,True,False
1780947910.756,37.1,56.9,True,False
1780947910.913,37.2,56.4,True,False
1780947911.070,37.4,56.7,True,False
1780947911.227,37.5,56.6,True,False
1780947911.384,37.7,56.9,True,False
1780947911.541,37.9,56.7,True,False
1780947911.714,38.0,72.5,True,False
1780947911.870,38.2,56.7,True,False
1780947912.028,38.3,56.8,True,False
1780947912.185,38.5,56.5,True,False
1780947912.341,38.7,56.4,True,False
1780947912.498,38.8,56.4,True,False
1780947912.658,39.0,60.3,True,False
1780947912.816,39.1,56.9,True,False
1780947912.973,39.3,56.8,True,False
1780947913.130,39.4,56.2,True,False
1780947913.286,39.6,56.6,True,False
1780947913.443,39.8,56.9,True,False
1780947913.600,39.9,56.2,True,False
1780947913.757,40.1,56.6,True,False
1780947913.913,40.2,56.1,True,False
1780947914.070,40.4,56.6,True,False
1780947914.227,40.5,56.2,True,False
1780947914.385,40.7,57.1,True,False
1780947914.542,40.9,56.7,True,False
1780947914.698,41.0,56.1,True,False
1780947914.855,41.2,56.4,True,False
1780947915.011,41.3,56.2,True,False
1780947915.168,41.5,56.5,True,False
1780947915.326,41.6,56.8,True,False
1780947915.482,41.8,56.3,True,False
1780947915.640,41.9,56.9,True,False
1780947915.796,42.1,56.1,True,False
1780947915.953,42.3,56.3,True,False
1780947916.110,42.4,57.0,True,False
1780947916.267,42.6,56.4,True,False
1780947916.424,42.7,56.5,True,False
1780947916.580,42.9,56.1,True,False
1780947916.737,43.0,56.4,True,False
1780947916.893,43.2,56.3,True,False
1780947917.050,43.4,56.3,True,False
1780947917.207,43.5,56.6,True,False
1780947917.363,43.7,56.3,True,False
1780947917.520,43.8,56.3,True,False
1780947917.677,44.0,56.4,True,False
1780947917.834,44.1,56.8,True,False
1780947917.990,44.3,56.2,True,False
1780947918.147,44.5,56.4,True,False
1780947918.304,44.6,56.6,True,False
1780947918.461,44.8,56.9,True,False
1780947918.618,44.9,56.9,True,False
1780947918.776,45.1,56.9,True,False
1780947918.933,45.2,56.7,True,False
1780947919.090,45.4,56.8,True,False
1780947919.247,45.6,57.1,True,False
1780947919.417,45.7,70.0,True,False
1780947919.574,45.9,56.2,True,False
1780947919.739,46.0,65.7,True,False
1780947919.898,46.2,58.1,True,False
1780947920.054,46.4,56.4,True,False
1780947920.212,46.5,57.5,True,False
1780947920.369,46.7,56.4,True,False
1780947920.525,46.8,56.4,True,False
1780947920.682,47.0,56.6,True,False
1780947920.839,47.1,56.5,True,False
1780947920.996,47.3,56.5,True,False
1780947921.153,47.5,56.6,True,False
1780947921.310,47.6,56.9,True,False
1780947921.467,47.8,56.8,True,False
1780947921.624,47.9,56.6,True,False
1780947921.782,48.1,57.8,True,False
1780947921.939,48.2,56.7,True,False
1780947922.096,48.4,56.4,True,False
1780947922.253,48.6,57.2,True,False
1780947922.410,48.7,56.3,True,False
1780947922.567,48.9,56.6,True,False
1780947922.724,49.0,57.0,True,False
1780947922.880,49.2,56.2,True,False
1780947923.037,49.3,56.7,True,False
1780947923.194,49.5,56.5,True,False
1780947923.352,49.7,56.9,True,False
1780947923.510,49.8,57.4,True,False
1780947923.666,50.0,56.6,True,False
1780947923.824,50.1,57.0,True,False
1780947923.981,50.3,56.4,True,False
1780947924.138,50.4,56.6,True,False
1780947924.294,50.6,56.5,True,False
1780947924.451,50.8,56.1,True,False
1780947924.609,50.9,57.9,True,False
1780947924.767,51.1,57.5,True,False
1780947924.938,51.2,70.3,True,False
1780947925.095,51.4,56.5,True,False
1780947925.252,51.6,56.9,True,False
1780947925.409,51.7,56.8,True,False
1780947925.566,51.9,56.7,True,False
1780947925.722,52.0,56.1,True,False
1780947925.879,52.2,56.4,True,False
1780947926.036,52.3,56.8,True,False
