ts,elapsed_s,latency_ms,ok,sla_violated
1780949653.972,0.1,103.1,True,False
1780949654.130,0.3,57.5,True,False
1780949654.287,0.4,56.8,True,False
1780949654.443,0.6,56.2,True,False
1780949654.600,0.7,56.0,True,False
1780949654.780,0.9,80.2,True,False
1780949654.936,1.1,56.0,True,False
1780949655.093,1.2,56.3,True,False
1780949655.250,1.4,56.7,True,False
1780949655.407,1.5,56.7,True,False
1780949655.584,1.7,76.5,True,False
1780949655.740,1.9,56.3,True,False
1780949655.897,2.0,56.1,True,False
1780949656.053,2.2,56.0,True,False
1780949656.209,2.3,56.1,True,False
1780949656.365,2.5,55.7,True,False
1780949656.522,2.7,56.5,True,False
1780949656.678,2.8,56.3,True,False
1780949656.835,3.0,56.5,True,False
1780949656.991,3.1,56.2,True,False
1780949657.148,3.3,56.3,True,False
1780949657.305,3.4,56.2,True,False
1780949657.461,3.6,56.2,True,False
1780949657.618,3.7,56.4,True,False
1780949657.775,3.9,56.3,True,False
1780949657.931,4.1,56.4,True,False
1780949658.089,4.2,56.8,True,False
1780949658.246,4.4,56.8,True,False
1780949658.403,4.5,56.6,True,False
1780949658.560,4.7,56.8,True,False
1780949658.717,4.8,56.4,True,False
1780949658.874,5.0,56.0,True,False
1780949659.030,5.2,56.3,True,False
1780949659.187,5.3,56.7,True,False
1780949659.344,5.5,56.4,True,False
1780949659.500,5.6,56.4,True,False
1780949659.657,5.8,56.2,True,False
1780949659.813,5.9,56.1,True,False
1780949659.969,6.1,56.1,True,False
1780949660.126,6.3,56.2,True,False
1780949660.282,6.4,56.3,True,False
1780949660.439,6.6,56.4,True,False
1780949660.597,6.7,57.1,True,False
1780949660.753,6.9,55.9,True,False
1780949660.910,7.0,56.4,True,False
1780949661.066,7.2,55.8,True,False
1780949661.223,7.4,57.2,True,False
1780949661.381,7.5,56.9,True,False
1780949661.538,7.7,56.5,True,False
1780949661.694,7.8,56.5,True,False
1780949661.852,8.0,57.2,True,False
1780949662.009,8.1,56.7,True,False
1780949662.167,8.3,57.4,True,False
1780949662.323,8.5,55.8,True,False
1780949662.479,8.6,56.3,True,False
1780949662.635,8.8,55.8,True,False
1780949662.792,8.9,56.4,True,False
1780949662.948,9.1,56.3,True,False
1780949663.105,9.2,56.0,True,False
1780949663.262,9.4,56.4,True,False
1780949663.419,9.6,56.8,True,False
1780949663.575,9.7,55.9,True,False
1780949663.731,9.9,56.1,True,False
1780949663.888,10.0,56.5,True,False
1780949664.044,10.2,56.0,True,False
1780949664.201,10.3,56.1,True,False
1780949664.357,10.5,55.9,True,False
1780949664.513,10.6,56.5,True,False
1780949664.671,10.8,57.2,True,False
1780949664.828,11.0,56.4,True,False
1780949664.984,11.1,55.9,True,False
1780949665.140,11.3,56.1,True,False
1780949665.296,11.4,55.8,True,False
1780949665.452,11.6,56.5,True,False
1780949665.609,11.7,56.2,True,False
1780949665.766,11.9,56.7,True,False
1780949665.924,12.1,56.7,True,False
1780949666.080,12.2,56.3,True,False
1780949666.237,12.4,56.0,True,False
1780949666.393,12.5,55.9,True,False
1780949666.549,12.7,56.0,True,False
1780949666.705,12.8,55.7,True,False
1780949666.862,13.0,56.2,True,False
1780949667.019,13.1,56.2,True,False
1780949667.198,13.3,78.9,True,False
1780949667.355,13.5,57.0,True,False
1780949667.512,13.6,56.2,True,False
1780949667.668,13.8,56.3,True,False
1780949667.825,14.0,56.2,True,False
1780949667.981,14.1,56.0,True,False
1780949668.137,14.3,55.9,True,False
1780949668.294,14.4,56.1,True,False
1780949668.450,14.6,56.4,True,False
1780949668.608,14.7,57.7,True,False
1780949668.764,14.9,55.9,True,False
1780949668.921,15.1,56.0,True,False
1780949669.077,15.2,56.0,True,False
1780949669.234,15.4,56.4,True,False
1780949669.391,15.5,56.1,True,False
1780949669.547,15.7,55.8,True,False
